"model","correction_constant","freq_significant_id","freq_significant_id_c"
"karlinsky",1.422,"9 (28.1\%)","7 (21.9\%)"
"linear",1.437,"10 (31.3\%)","8 (25\%)"
"who",5.648,"23 (71.9\%)","8 (25\%)"
"negbin",1.104,"8 (25\%)","8 (25\%)"
"negbin_lin_trend",1.511,"10 (31.3\%)","8 (25\%)"
