"model","constant","constant_q","coverage"
"karlinsky",1.38,0.994,0.828758169934641
"linear",1.39,0.995,0.824836601307189
"who",5.24,Inf,0.298039215686275
"negbin",1.013,0.953,0.947712418300654
"negbin_lin_trend",1.41,0.997,0.810457516339869
"pnas",2.894,Inf,0.540616246498599
